Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento;Dir Viento;Temperatura;HR;Presion Baro;Rad Solar;Precipitacion;BC ug/m3
6/01/2024 6:00;17;16;4.4;11;15.4;0;0.4;10.1;0;142;0;0;0;0;0;
6/01/2024 7:00;24;14;9.1;13.1;22.2;0;0.51;8.7;0;133;0;0;0;0;0;
6/01/2024 8:00;27;23;13.5;13.3;26.8;0;0.66;8.5;0;149;0;0;0;0;0;
6/01/2024 9:00;41;28;16.9;19.2;36.1;0;0.8;14.8;0;124;0;0;0;0;0;
6/01/2024 10:00;37;22;13.8;23.3;37.1;0;0.76;24.2;0;88;0;0;0;0;0;
6/01/2024 11:00;33;23;11.6;25.6;37.2;0;0.77;33.2;0;333;0;0;0;0;0;
6/01/2024 12:00;16;13;6;14.4;20.4;0;0.53;32.3;0;182;0;0;0;0;0;
6/01/2024 13:00;15;9;4.3;6.1;10.3;0;0.35;23.9;0;188;0;0;0;0;0;
6/01/2024 14:00;8;7;3.4;4.9;8.3;0;0.38;24.2;0;196;0;0;0;0;0;
6/01/2024 15:00;0;16;2.2;3.9;6.1;0;0.39;23.8;0;200;0;0;0;0;0;
6/01/2024 16:00;8;8;2.1;3.8;5.9;0;0.4;23.4;0;181;0;0;0;0;0;
6/01/2024 17:00;19;8;1.6;2.9;4.6;0;0.38;23.7;0;100;0;0;0;0;0;
6/01/2024 18:00;24;12;2;3.9;5.9;0;0.41;22.8;0;89;0;0;0;0;0;
6/01/2024 19:00;19;11;1.5;3.3;4.8;0;0.39;23.4;0;118;0;0;0;0;0;
6/01/2024 20:00;15;15;3.8;8.3;12;0;0.51;18.6;0;102;0;0;0;0;0;
6/01/2024 21:00;23;16;2.4;8.6;10.9;0;0.51;18.8;0;106;0;0;0;0;0;
6/01/2024 22:00;23;12;3.9;10.5;14.4;0;0.56;15.9;0;147;0;0;0;0;0;
6/01/2024 23:00;18;15;4.6;10.8;15.3;0;0.59;12.4;0;122;0;0;0;0;0;
7/01/2024 0:00;23;15;3.6;9.5;13.1;0;0.58;10.2;0;131;0;0;0;0;0;
7/01/2024 1:00;9;9;2.5;8.1;10.6;0;0.44;10.4;0;137;0;0;0;0;0;
7/01/2024 2:00;11;9;2.2;7.1;9.3;0;0.45;11.7;0;135;0;0;0;0;0;
7/01/2024 3:00;16;10;2;7.4;9.4;0;0.43;11.4;0;130;0;0;0;0;0;
7/01/2024 4:00;14;12;2.4;8;10.4;0;0.42;9.8;0;135;0;0;0;0;0;
7/01/2024 5:00;10;9;1.7;5.8;7.6;0;0.36;11.6;0;143;0;0;0;0;0;
7/01/2024 6:00;14;5;3.8;7.5;11.3;0;0.46;9.1;0;127;0;0;0;0;0;
7/01/2024 7:00;14;8;9.7;13.3;23;0;0.67;6.3;0;150;0;0;0;0;0;
7/01/2024 8:00;36;31;6;9.5;15.5;0;0.65;8.4;0;159;0;0;0;0;0;
7/01/2024 9:00;24;13;14.3;15.2;29.5;0;0.7;13.2;0;93;0;0;0;0;0;
7/01/2024 10:00;12;10;8.6;13.3;22;0;0.64;21.1;0;83;0;0;0;0;0;
7/01/2024 11:00;14;12;5.4;8.8;14.2;0;0.53;22.7;0;256;0;0;0;0;0;
7/01/2024 12:00;13;8;2.1;2.9;5;0;0.43;18.1;0;174;0;0;0;0;0;
7/01/2024 13:00;15;7;1.3;1.8;3.1;0;0.44;18.7;0;187;0;0;0;0;0;
7/01/2024 14:00;19;10;2.3;2.6;4.9;0;0.46;19.1;0;219;0;0;0;0;0;
7/01/2024 15:00;17;10;3.2;3.9;7.1;0;0.5;19.2;0;250;0;0;0;0;0;
7/01/2024 16:00;16;10;2.5;4;6.5;0;0.49;19.8;0;197;0;0;0;0;0;
7/01/2024 17:00;20;15;2.2;3.5;5.7;0;0.46;20.4;0;213;0;0;0;0;0;
7/01/2024 18:00;15;15;2.3;4.2;6.5;0;0.48;19.5;0;141;0;0;0;0;0;
7/01/2024 19:00;26;18;4.6;7.7;12.3;0;0.59;14.9;0;80;0;0;0;0;0;
7/01/2024 20:00;18;13;2.1;3.8;5.9;0;0.46;17.9;0;85;0;0;0;0;0;
7/01/2024 21:00;17;17;1.5;3.2;4.7;0;0.43;19;0;108;0;0;0;0;0;
7/01/2024 22:00;15;15;1.6;4.5;6.1;0;0.42;20;0;80;0;0;0;0;0;
7/01/2024 23:00;18;10;2.9;8.4;11.3;0;0.49;16.3;0;146;0;0;0;0;0;
8/01/2024 0:00;17;14;3.4;11.1;14.5;0;0.56;9.3;0;158;0;0;0;0;0;
8/01/2024 1:00;15;15;2.2;8.4;10.6;0;0.4;9.1;0;149;0;0;0;0;0;
8/01/2024 2:00;24;12;2;9;11;0;0.4;7.3;0;109;0;0;0;0;0;
8/01/2024 3:00;0;16;2.3;8.6;11;0;0.38;6.6;0;141;0;0;0;0;0;
8/01/2024 4:00;18;14;1.2;6.8;8;0;0.34;7.8;0;124;0;0;0;0;0;
8/01/2024 5:00;16;15;1.9;7.1;9.1;0;0.36;5.9;0;135;0;0;0;0;0;
8/01/2024 6:00;22;14;3.9;7.2;11.1;0;0.42;5.1;0;139;0;0;0;0;0;
8/01/2024 7:00;15;13;8.1;8.5;16.7;0;0.54;5.5;0;157;0;0;0;0;0;
8/01/2024 8:00;34;23;9.1;9.1;18.2;0;0.56;6.9;0;162;0;0;0;0;0;
8/01/2024 9:00;34;25;17;18.2;35.2;0;0.77;12;0;341;0;0;0;0;0;
8/01/2024 10:00;33;21;13.6;20;33.6;0;0.65;21.4;0;41;0;0;0;0;0;
8/01/2024 11:00;28;19;5.8;13.6;19.4;0;0.52;27.5;0;71;0;0;0;0;0;
8/01/2024 12:00;14;12;2.6;4.4;7.1;0;0.34;23;0;228;0;0;0;0;0;
8/01/2024 13:00;14;7;3.4;3.9;7.2;0;0.35;21.9;0;263;0;0;0;0;0;
8/01/2024 14:00;8;4;3;3.7;6.7;0;0.34;20.5;0;229;0;0;0;0;0;
8/01/2024 15:00;11;9;3.7;4.4;8.1;0;0.36;21.4;0;258;0;0;0;0;0;
8/01/2024 16:00;25;14;3.3;6.4;9.7;0;0.46;25.6;0;311;0;0;0;0;0;
8/01/2024 17:00;36;23;4.1;11.1;15.3;0;0.59;27.2;0;317;0;0;0;0;0;
8/01/2024 18:00;24;17;2.9;11.9;14.8;0;0.58;21.5;0;312;0;0;0;0;0;
8/01/2024 19:00;28;13;4;14.7;18.7;0;0.6;14.8;0;306;0;0;0;0;0;
8/01/2024 20:00;0;14;2.3;7.4;9.7;0;0.44;14.7;0;107;0;0;0;0;0;
8/01/2024 21:00;20;20;2.5;8;10.5;0;0.52;13.1;0;110;0;0;0;0;0;
8/01/2024 22:00;22;14;1.9;7.4;9.3;0;0.43;12.1;0;145;0;0;0;0;0;
8/01/2024 23:00;21;13;3.9;8.6;12.5;0;0.45;10.7;0;122;0;0;0;0;0;
9/01/2024 0:00;8;8;1.6;5;6.6;0;0.35;12.8;0;136;0;0;0;0;0;
9/01/2024 1:00;17;11;0.7;1.7;2.4;0;0.3;21.1;0;81;0;0;0;0;0;
9/01/2024 2:00;15;13;0.8;2.5;3.3;0;0.32;19;0;109;0;0;0;0;0;
9/01/2024 3:00;13;13;1.2;4.9;6.1;0;0.33;11.7;0;139;0;0;0;0;0;
9/01/2024 4:00;18;11;1.6;5.2;6.9;0;0.33;9.3;0;128;0;0;0;0;0;
9/01/2024 5:00;13;11;3.5;7.5;11;0;0.36;7.8;0;135;0;0;0;0;0;
9/01/2024 6:00;19;12;11.6;12.8;24.4;0;0.5;4.6;0;150;0;0;0;0;0;
9/01/2024 7:00;36;23;28.3;15.3;43.7;0;0.89;2.2;0;141;0;0;0;0;0;
9/01/2024 8:00;64;34;41.1;16.6;57.7;0;1.38;3.6;0;140;0;0;0;0;0;
9/01/2024 9:00;70;42;69.1;41;110.1;0;1.74;6.6;0;83;0;0;0;0;0;
9/01/2024 10:00;69;38;49.9;52.2;102.1;0;1.61;14.3;0;81;0;0;0;0;0;
9/01/2024 11:00;70;35;32.4;50.4;82.9;0;1.43;23.6;0;270;0;0;0;0;0;
9/01/2024 12:00;23;11;7.5;10.1;17.5;0;0.53;19.1;0;225;0;0;0;0;0;
9/01/2024 13:00;20;12;6.1;6.4;12.5;0;0.48;16.9;0;243;0;0;0;0;0;
9/01/2024 14:00;7;7;5.1;5.8;11;0;0.47;17;0;209;0;0;0;0;0;
9/01/2024 15:00;38;17;5.4;10.4;15.8;0;0.59;20.8;0;142;0;0;0;0;0;
9/01/2024 16:00;28;13;6.3;8.4;14.7;0;0.53;17.9;0;144;0;0;0;0;0;
9/01/2024 17:00;16;8;7.9;7.9;15.8;0;0.53;13.9;0;177;0;0;0;0;0;
9/01/2024 18:00;26;14;3.8;5.1;9;0;0.52;18;0;94;0;0;0;0;0;
9/01/2024 19:00;23;23;3.5;10.5;14;0;0.61;15.7;0;97;0;0;0;0;0;
9/01/2024 20:00;29;20;9.1;15;24.2;0;0.74;9.6;0;109;0;0;0;0;0;
9/01/2024 21:00;18;12;3.4;8.1;11.4;0;0.49;14.5;0;92;0;0;0;0;0;
9/01/2024 22:00;35;26;10.6;16.5;27;0;0.77;6.5;0;143;0;0;0;0;0;
9/01/2024 23:00;44;23;12.2;23.4;35.6;0;0.97;1.5;0;141;0;0;0;0;0;
10/01/2024 0:00;35;24;8.5;21.8;30.2;0;0.83;1.6;0;127;0;0;0;0;0;
10/01/2024 1:00;25;18;4.8;15.6;20.4;0;0.58;3;0;136;0;0;0;0;0;
10/01/2024 2:00;23;18;5.1;14.7;19.8;0;0.54;2.3;0;138;0;0;0;0;0;
10/01/2024 3:00;25;21;7.1;14.1;21.2;0;0.54;1.2;0;131;0;0;0;0;0;
10/01/2024 4:00;24;15;8.1;13.1;21.2;0;0.49;0.9;0;166;0;0;0;0;0;
10/01/2024 5:00;22;22;9.8;11.8;21.6;0;0.46;1.5;0;123;0;0;0;0;0;
10/01/2024 6:00;17;13;21.9;11.6;33.5;0;0.57;1.2;0;143;0;0;0;0;0;
10/01/2024 7:00;44;24;53.6;14.1;67.6;0;1.24;0.9;0;135;0;0;0;0;0;
10/01/2024 8:00;73;44;61.8;17.1;78.9;0;1.66;2.5;0;104;0;0;0;0;0;
10/01/2024 9:00;88;38;90.3;49.5;139.8;0;1.97;5.5;0;92;0;0;0;0;0;
10/01/2024 10:00;89;46;65.5;66.5;132;0;1.92;12.5;0;74;0;0;0;0;0;
10/01/2024 11:00;79;0;34.5;57.2;91.7;0;1.4;21.3;0;304;0;0;0;0;0;
10/01/2024 12:00;50;0;15.5;38.6;54.1;0;0.95;25.6;0;313;0;0;0;0;0;
10/01/2024 13:00;31;12;7.2;22.5;29.6;0;0.65;27.8;0;295;0;0;0;0;0;
10/01/2024 14:00;81;38;7;35.4;42.4;0;0.91;36;0;280;0;0;0;0;0;
10/01/2024 15:00;74;36;6.1;31.9;37.9;0;0.85;35.2;0;336;0;0;0;0;0;
10/01/2024 16:00;56;26;6.3;25.8;32.1;0;0.73;29.1;0;293;0;0;0;0;0;
10/01/2024 17:00;53;25;4.6;24;28.6;0;0.7;27.1;0;100;0;0;0;0;0;
10/01/2024 18:00;48;21;7.9;32.9;40.9;0;1;13.7;0;94;0;0;0;0;0;
10/01/2024 19:00;48;43;14;22.4;36.4;0;1.17;8.3;0;154;0;0;0;0;0;
10/01/2024 20:00;47;33;24.1;21.9;46.1;0;1.28;4.7;0;122;0;0;0;0;0;
10/01/2024 21:00;18;9;6.7;10.1;16.8;0;0.46;12.4;0;89;0;0;0;0;0;
10/01/2024 22:00;11;9;1.5;3.9;5.4;0;0.27;18.2;0;149;0;0;0;0;0;
10/01/2024 23:00;11;8;1.9;4.9;6.8;0;0.28;17.9;0;92;0;0;0;0;0;
11/01/2024 0:00;12;8;3.7;9.9;13.6;0;0.33;13.7;0;239;0;0;0;0;0;
11/01/2024 1:00;10;7;2;5.5;7.5;0;0.3;12.7;0;134;0;0;0;0;0;
11/01/2024 2:00;9;4;2.9;5.8;8.7;0;0.29;9.5;0;132;0;0;0;0;0;
11/01/2024 3:00;6;3;2.1;6.3;8.4;0;0.25;9.4;0;139;0;0;0;0;0;
11/01/2024 4:00;8;6;2.1;6.9;9.1;0;0.28;7.1;0;138;0;0;0;0;0;
11/01/2024 5:00;9;7;5;8.7;13.7;0;0.31;5.6;0;128;0;0;0;0;0;
11/01/2024 6:00;18;5;18.6;11.6;30.2;0;0.54;3.7;0;142;0;0;0;0;0;
11/01/2024 7:00;24;13;35.3;15.5;50.8;0;0.91;2.6;0;128;0;0;0;0;0;
11/01/2024 8:00;46;31;51.8;17;68.8;0;1.53;3.2;0;145;0;0;0;0;0;
11/01/2024 9:00;53;17;59.2;35.5;94.7;0;1.58;6.2;0;100;0;0;0;0;0;
11/01/2024 10:00;31;10;28.3;24;52.3;0;0.94;13.1;0;61;0;0;0;0;0;
11/01/2024 11:00;15;6;4.8;5.6;10.4;0;0.36;18.5;0;85;0;0;0;0;0;
11/01/2024 12:00;9;9;4;5.3;9.3;0;0.35;17.6;0;108;0;0;0;0;0;
11/01/2024 13:00;23;11;6.5;15.2;21.8;0;0.57;30.7;0;278;0;0;0;0;0;
11/01/2024 14:00;67;32;7;26.1;33.1;0;0.78;41.6;0;286;0;0;0;0;0;
11/01/2024 15:00;70;33;5.1;20.2;25.3;0;0.7;41.5;0;275;0;0;0;0;0;
11/01/2024 16:00;55;30;5.5;26.8;32.3;0;0.74;30.6;0;294;0;0;0;0;0;
11/01/2024 17:00;50;22;6.3;23;29.3;0;0.72;28.3;0;275;0;0;0;0;0;
11/01/2024 18:00;48;28;6.2;27.5;33.7;0;0.87;20.6;0;276;0;0;0;0;0;
11/01/2024 19:00;76;46;13.4;35.4;48.8;0;1.41;10;0;225;0;0;0;0;0;
11/01/2024 20:00;43;30;7.7;22;29.7;0;0.97;11.7;0;95;0;0;0;0;0;
11/01/2024 21:00;30;20;6.5;15.5;22;0;0.66;11.9;0;82;0;0;0;0;0;
11/01/2024 22:00;21;19;4.8;11.2;16;0;0.55;11.5;0;89;0;0;0;0;0;
11/01/2024 23:00;24;10;4.3;10.4;14.7;0;0.51;13.2;0;106;0;0;0;0;0;
12/01/2024 0:00;37;18;8.6;17;25.6;0;0.7;5;0;126;0;0;0;0;0;
12/01/2024 1:00;31;20;4.8;17.2;22;0;0.65;4.3;0;131;0;0;0;0;0;
12/01/2024 2:00;28;10;2.8;11.9;14.7;0;0.49;6.9;0;157;0;0;0;0;0;
